date,days,case,inflated5,inflated6,inflated7
21-Jan-20,1,1,1.000000681,1.000007259,1.000039358
22-Jan-20,2,1,1.000000832,1.000008575,1.000045402
24-Jan-20,3,1,1.00000124,1.000011967,1.000060418
25-Jan-20,4,1,1.000001515,1.000014138,1.000069697
5-Feb-20,5,1,1.000013674,1.000088435,1.000335575
14-Feb-20,6,2,2.000165462,2.000792919,2.002429853
15-Feb-20,7,1,1.00010105,1.000468395,1.001401758
16-Feb-20,8,1,1.000123425,1.00055339,1.001617368
20-Feb-20,9,4,4.001098916,4.004313692,4.011470405
21-Feb-20,10,1,1.000335575,1.001274255,1.003309422
22-Feb-20,11,1,1.000409903,1.001505703,1.003819574
23-Feb-20,12,2,2.001001404,2.003558527,2.008817427
24-Feb-20,13,2,2.001223253,2.00420526,2.010178366
25-Feb-20,14,2,2.001494287,2.004969823,2.01175059
26-Feb-20,15,3,3.002738143,3.008810699,3.020350965
27-Feb-20,16,1,1.001115017,1.003471386,1.007833547
28-Feb-20,17,4,4.005448885,4.016414167,4.036189558
29-Feb-20,18,3,3.004992968,3.014554117,3.031353818
1-Mar-20,19,4,4.00813423,4.022945064,4.048302411
2-Mar-20,20,8,8.019879293,8.054269239,8.111646979
3-Mar-20,21,9,9.027330738,9.072214317,9.14520224
4-Mar-20,22,6,6.022269532,6.056956974,6.111944162
5-Mar-20,23,12,12.05444488,12.13480551,12.25901183
6-Mar-20,24,17,17.09430182,17.22607027,17.42468923
7-Mar-20,25,20,20.1356731,20.31496017,20.57858036
8-Mar-20,26,26,26.21574898,26.48509137,26.87153083
9-Mar-20,27,44,44.44677165,44.97309963,45.71019442
10-Mar-20,28,55,55.68364706,56.44276358,57.48083305
11-Mar-20,29,62,62.94387978,63.93053487,65.24853318
12-Mar-20,30,69,70.28735787,71.55256575,73.20431559
13-Mar-20,31,59,60.35007782,61.59588744,63.18623052
14-Mar-20,32,69,70.93829838,72.61530306,74.709792
15-Mar-20,33,75,77.58941241,79.68690244,82.25151474
16-Mar-20,34,107,111.5468974,114.9898947,119.1140664
17-Mar-20,35,95,99.97759117,103.4954215,107.6266713
18-Mar-20,36,109,116.0574615,120.7050015,126.0604231
19-Mar-20,37,93,100.4616459,105.0323891,110.2049872
20-Mar-20,38,129,141.8701716,149.1907759,157.3347853
21-Mar-20,39,100,112.4610382,119.0305787,126.2224944
22-Mar-20,40,88,101.7735526,108.4913736,115.7363319
23-Mar-20,41,100,119.8033627,128.7216917,138.2080313
24-Mar-20,42,92,115.2732723,124.9316166,135.0769134
25-Mar-20,43,84,111.4941087,121.9872107,132.8860434
26-Mar-20,44,85,121.6360847,134.4680201,147.6650282
27-Mar-20,45,76,120.2302297,134.4176852,148.8858032
28-Mar-20,46,70,127.1176355,143.8603838,160.8153326
29-Mar-20,47,51,113.03483,129.6161982,146.315877
30-Mar-20,48,32,97.06383302,112.8872471,128.7608702
31-Mar-20,49,37,204.1162559,241.0136511,277.9403264